STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_bal,Energy balance,siec,Standard international energy product classification (SIEC),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2008-01,,49891.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2008-02,,45277.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2008-03,,46605.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2008-04,,41417.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2008-05,,35384.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2008-06,,34787.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2008-07,,35850.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2008-08,,32868.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2008-09,,35637.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2008-10,,40552.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2008-11,,44303.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2008-12,,51583.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2009-01,,54706.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2009-02,,46460.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2009-03,,44416.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2009-04,,37192.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2009-05,,34419.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2009-06,,33696.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2009-07,,35108.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2009-08,,32782.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2009-09,,34365.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2009-10,,39366.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2009-11,,41846.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2009-12,,50810.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2010-01,,56298.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2010-02,,48589.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2010-03,,48189.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2010-04,,38256.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2010-05,,37068.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2010-06,,34258.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2010-07,,35869.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2010-08,,32887.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2010-09,,34888.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2010-10,,40537.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2010-11,,46475.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2010-12,,57460.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2011-01,,53783.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2011-02,,45835.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2011-03,,45420.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2011-04,,35018.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2011-05,,34748.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2011-06,,33386.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2011-07,,33797.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2011-08,,32184.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2011-09,,33920.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2011-10,,37783.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2011-11,,42119.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2011-12,,48367.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2012-01,,51067.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2012-02,,54143.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2012-03,,42887.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2012-04,,39650.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2012-05,,34768.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2012-06,,32579.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2012-07,,33479.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2012-08,,31577.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2012-09,,32756.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2012-10,,37926.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2012-11,,43941.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2012-12,,49248.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2013-01,,53467.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2013-02,,49363.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2013-03,,49160.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2013-04,,39683.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2013-05,,36246.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2013-06,,32199.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2013-07,,33838.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2013-08,,30684.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2013-09,,32586.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2013-10,,36375.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2013-11,,44959.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2013-12,,49949.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2014-01,,49083.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2014-02,,44402.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2014-03,,42814.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2014-04,,35801.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2014-05,,33780.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2014-06,,31723.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2014-07,,33034.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2014-08,,30121.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2014-09,,32508.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2014-10,,35714.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2014-11,,40727.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2014-12,,49032.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2015-01,,52397.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2015-02,,48530.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2015-03,,45710.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2015-04,,36521.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2015-05,,33610.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2015-06,,32925.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2015-07,,34581.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2015-08,,31319.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2015-09,,33148.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2015-10,,38792.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2015-11,,40893.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2015-12,,44610.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2016-01,,50101.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2016-02,,46402.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2016-03,,47294.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2016-04,,38817.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2016-05,,34383.000,,,,,
dataflow,ESTAT:NRG_CB_EM(1.0),"Supply, transformation and consumption of electricity - monthly data",M,Monthly,AIM,Available to internal market,E7000,Electricity,GWH,Gigawatt-hour,FR,France,2016-06,,32627.000,,,,,
